"Gene.Name","DMSO.Intensity","Slope","Bottom","Top","Inflection","EC50","EC50.Standard.Error","Correction.Factor","Apparent.Kd","R2","Target.Classification","uniqueIdentifier","Peptides.100nM","Peptides.10nM","Peptides.30nM","Peptides.3nM","Peptides.DMSO","Unique.peptides.100nM","Unique.peptides.10nM","Unique.peptides.30nM","Unique.peptides.3nM","Unique.peptides.DMSO","Quantile.Intensity","Quantile.Intensity.100nM","Quantile.Intensity.10nM","Quantile.Intensity.30nM","Quantile.Intensity.3nM","Quantile.Intensity.DMSO","Quantile.LFQ.intensity.100nM","Quantile.LFQ.intensity.10nM","Quantile.LFQ.intensity.30nM","Quantile.LFQ.intensity.3nM","Quantile.LFQ.intensity.DMSO","MS.MS.Count.100nM","MS.MS.Count.10nM","MS.MS.Count.30nM","MS.MS.Count.3nM","MS.MS.Count.DMSO","Normalized.Intensity.100nM","Normalized.Intensity.10nM","Normalized.Intensity.30nM","Normalized.Intensity.3nM","Normalized.Intensity.DMSO","Normalized.LFQ.intensity.100nM","Normalized.LFQ.intensity.10nM","Normalized.LFQ.intensity.30nM","Normalized.LFQ.intensity.3nM","Normalized.LFQ.intensity.DMSO","Peptides.1000nM","Unique.peptides.1000nM","Quantile.Intensity.1000nM","Quantile.LFQ.intensity.1000nM","MS.MS.Count.1000nM","Normalized.Intensity.1000nM","Normalized.LFQ.intensity.1000nM","Peptides.30000nM","Unique.peptides.30000nM","Quantile.Intensity.30000nM","Quantile.LFQ.intensity.30000nM","MS.MS.Count.30000nM","Normalized.Intensity.30000nM","Normalized.LFQ.intensity.30000nM","Peptides.3000nM","Unique.peptides.3000nM","Quantile.Intensity.3000nM","Quantile.LFQ.intensity.3000nM","MS.MS.Count.3000nM","Normalized.Intensity.3000nM","Normalized.LFQ.intensity.3000nM","Peptides.300nM","Unique.peptides.300nM","Quantile.Intensity.300nM","Quantile.LFQ.intensity.300nM","MS.MS.Count.300nM","Normalized.Intensity.300nM","Normalized.LFQ.intensity.300nM","Peptides.1nM","Unique.peptides.1nM","Quantile.Intensity.1nM","Quantile.LFQ.intensity.1nM","MS.MS.Count.1nM","Normalized.Intensity.1nM","Normalized.LFQ.intensity.1nM","Peptides.0.3nM","Unique.peptides.0.3nM","Quantile.Intensity.0.3nM","Quantile.LFQ.intensity.0.3nM","MS.MS.Count.0.3nM","Normalized.Intensity.0.3nM","Normalized.LFQ.intensity.0.3nM","kinase","directBinder","coenriched"
"STK17B",663370,-3.98198124927448,0.244883646100958,5.16145169932308,44676.1767137953,44676.1767137953,1216869.5068797,0.782002216784825,34936.8692276585,0.322908239923387,FALSE,"Dasatinib_STK17B",0,1,0,0,1,0,1,0,0,1,0.101074006669467,1.7947972417556e-06,0.249320669243996,1.7947972417556e-06,1.7947972417556e-06,0.165963106147898,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0.407020528890851,0,0,0,0,0,0,0.878589625699082,0,0,1,0,0,0,0,1,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,0,1,1,0.255164529063152,1.7947972417556e-06,1,1.08064880835733,0,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,0,0,0,1.7947972417556e-06,1.7947972417556e-06,0,0,0,NA,NA,0.860522716748689,0.860522716748689,NA,NA,NA,NA,NA,0.86007401743825,0.86007401743825,NA,NA,NA,FALSE,FALSE,FALSE
"STK25",380030,-0.267556570973857,0.501930593990487,2.33919275609562,4603.94562793364,4603.94562793364,26658.1594728935,1.10353451150383,4603.94562793364,0.163587444465624,FALSE,"Dasatinib_STK25",4,3,4,4,3,1,1,0,1,1,0.0404188338843361,0.225907539225294,0.243728081038685,1.7947972417556e-06,0.206810896573014,0.0954132161689694,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0,0,0,0,0,1.1126753151067,1.45254322027208,0,0.976712364813304,1,NA,NA,NA,NA,NA,5,1,0.213808811018619,1.7947972417556e-06,0,1.10214983027656,NA,5,1,0.249532455318523,1.7947972417556e-06,0,1.79251638028577,NA,6,1,0.223351747953034,1.7947972417556e-06,0,1.2994763571297,NA,6,1,0.222361019875585,1.7947972417556e-06,0,1.11985895850328,NA,NA,NA,0.861009106801205,0.861009106801205,NA,NA,NA,NA,NA,0.860560407490766,0.860560407490766,NA,NA,NA,FALSE,FALSE,FALSE
"STK26",23326000,7.26938897817757,0.741230642913059,1.0118938944847,966.641388918835,966.641388918835,471.336342090803,0.87831580115433,849.016405937181,0.464372695831736,FALSE,"Dasatinib_STK26",9,7,11,10,8,2,2,2,3,1,0.691544351234641,0.692499183367255,0.794971337088049,0.814006956634109,0.790452037633309,0.756765488202798,0.794779293783181,0.801369789254908,0.833900489261728,0.796123596917256,0.802981517178004,9,6,8,7,8,0.51839149446969,1.21401011746549,1.41944611163509,1.13126982766012,1,0.878730340701465,0.934833231827464,1.30229642102246,0.869702289255902,1,10,2,0.773988362534685,0.787093971993984,11,1.10979164880391,0.859814423386952,9,3,0.802647684891038,0.771348215792062,7,1.43788047672126,0.732203632715939,8,1,0.753626387826967,0.772999429254477,5,0.911300694503987,0.750367212409988,13,3,0.814922303227404,0.81255676046277,9,1.54561433593415,1.08580231433382,NA,NA,0.861436268544743,0.861436268544743,NA,NA,NA,NA,NA,0.860989364031545,0.860989364031545,NA,NA,NA,TRUE,TRUE,FALSE
"STK3",364360000,-9.90544062182277,1.00293081797466,0.830954706718025,2023.16855757954,2023.16855757954,4776.78873709751,0.764243891014131,1546.19421062203,0.260361992836359,FALSE,"Dasatinib_STK3",22,21,21,23,22,14,14,14,15,15,0.91786648862278,0.938671778249211,0.965606300456237,0.957999949745677,0.954141135675903,0.957603299555249,0.957527918071095,0.951770208519544,0.959828848135026,0.955889268189373,0.959656547599818,21,15,17,20,17,0.567433307717642,1.19145899659677,0.927489296300362,0.824761225161928,1,0.94302294908995,0.796425745185967,1.01991558955421,0.893629649169085,1,24,17,0.942437262862414,0.957387923886239,19,0.741601712591942,1.13871669744131,24,17,0.95496674240711,0.948313429031922,24,1.05733340652102,0.837213136375626,22,15,0.943858742277885,0.947335264535165,19,0.751427159951696,0.827848852545503,23,16,0.951355610356698,0.962440278121781,20,0.865407838401581,1.22889738855183,NA,NA,0.861972912920027,0.861972912920027,NA,NA,NA,NA,NA,0.861527803204072,0.861527803204072,NA,NA,NA,TRUE,TRUE,FALSE
"STK4",1539900000,7.75170842818531,0.739610132810003,1.00314046351921,2529.07099509634,2529.07099509634,1774.12824575888,0.762520626142799,1928.46879874046,0.789710468953764,FALSE,"Dasatinib_STK4",24,23,24,25,23,16,16,17,17,16,0.975506402041761,0.978938054367998,0.989416080665367,0.988062803545083,0.988378687859632,0.988254846849951,0.989247369724642,0.988104083881644,0.989780424505444,0.988689187782456,0.989462745393653,63,68,69,60,51,0.518390804597701,1.04513280083122,0.919540229885057,0.955256834859406,1,0.997654890687647,0.903320977381042,1.04894470080944,0.953627354565398,1,24,17,0.981398721386445,0.983347871190992,66,0.934865900383142,1.02307284968606,25,18,0.98089258856427,0.978866262478328,49,0.942723553477499,0.739783644753764,24,17,0.980713108840094,0.979812120624733,42,0.898889538281707,0.794765110825327,24,17,0.984230911433935,0.98728206674492,56,0.894148970712384,1.09524169755655,NA,NA,0.862855953162971,0.862855953162971,NA,NA,NA,NA,NA,0.862412638244258,0.862412638244258,NA,NA,NA,TRUE,TRUE,FALSE
"STMN1",27762000,-0.177395481731042,1.01816662929655,2.15147260341805,30396.1779041039,30396.1779041039,NA,1.30486135129613,30396.1779041039,0.133839120903401,FALSE,"Dasatinib_STMN1",5,4,4,4,5,3,3,3,3,3,0.724005054149033,0.770389794064964,0.838245693384018,0.763422391172469,0.785568394338492,0.777498985939558,0.806086516406242,0.83777725130392,0.792341959128877,0.804638115032145,0.78076192732507,7,5,3,2,5,0.820077804192782,1.57297745119228,0.739139831424249,0.90832793026439,1,1.21005838641189,1.68148443029016,1.0479033970276,1.16998407643312,1,4,3,0.741297925573348,0.777613852963031,4,0.701894676176068,0.969081740976645,4,3,0.835235818409594,0.812483173775859,8,1.69595130033859,1.34784147204529,5,3,0.883738419070798,0.861490112461995,13,3.08590879619624,2.37239030431706,4,3,0.746798979119329,0.792148121026768,3,0.688387003818169,1.09275477707006,NA,NA,0.863319010851344,0.863319010851344,NA,NA,NA,NA,NA,0.86287569593263,0.86287569593263,NA,NA,NA,FALSE,FALSE,FALSE
"STMN2",14781000,-14.9415807509072,1.05068443333087,2.67087679371715,1671.662134931,1671.662134931,2926.78038645266,1.04802713260455,1671.662134931,0.826832088976104,FALSE,"Dasatinib_STMN2",3,2,2,2,3,1,1,1,1,1,0.701317022216,0.709650265809472,0.77581367132955,0.711807612094062,0.731957800727252,0.696363381828755,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,2,2,2,2,2,0.931330762465327,1.60909275421149,0.909343075569989,1.08781543873892,1,NA,NA,NA,NA,NA,2,1,0.690331068299214,1.7947972417556e-06,2,0.884716866247209,NA,2,1,0.798945018181296,1.7947972417556e-06,2,2.18963534266964,NA,3,1,0.835382991783418,1.7947972417556e-06,3,3.15201948447331,NA,2,1,0.706482448677773,1.7947972417556e-06,2,0.933089777416954,NA,NA,NA,0.863756941378332,0.863756941378332,NA,NA,NA,NA,NA,0.863315421256861,0.863315421256861,NA,NA,NA,FALSE,FALSE,FALSE
"STOML2",5431900,-0.832190335264773,0.67131636531145,2.2785702771684,6683.75599337813,6683.75599337813,6196.21369175454,1.24458366531691,6683.75599337813,0.252304185114697,FALSE,"Dasatinib_STOML2",4,4,5,4,4,4,4,5,4,4,0.777610263368547,0.54039191192571,0.617474863864629,0.60165013658407,0.554852593302535,0.536053886992386,0.628730037367679,0.643721978728063,0.620484738839053,0.590073694374746,0.609601088365047,3,1,0,0,0,0.802150260498168,1.33275649404444,1.13845983909866,0.881109740606418,1,0.996655174188236,1.12199180088852,0.914818435993756,0.697096005077274,1,3,3,0.44234034381136,1.7947972417556e-06,1,0.471510889375725,0,4,4,0.709388225412175,0.697652046248335,4,2.78999981590235,1.85886550369646,7,7,0.691775880078828,0.686840187664,4,2.4098381781697,1.69478035643836,3,3,0.554003654207184,0.651299612682755,1,0.887442699607872,1.23611039640474,NA,NA,0.864516140611595,0.864516140611595,NA,NA,NA,NA,NA,0.864078210084607,0.864078210084607,NA,NA,NA,FALSE,FALSE,FALSE
"STON2",1478500,-0.120346936576167,1.00532110747011,1.75969921575504,649.721873763164,649.721873763164,9367.84850800304,1.92804525598061,649.721873763164,0.132805172662503,FALSE,"Dasatinib_STON2",1,1,1,1,1,1,1,1,1,1,0.135126694737296,0.33544580968688,0.430316997088839,0.438140518265652,0.430733390048926,0.299442177017262,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1,1,1,1,1,0.763205951978356,1.51078796077105,1.48332769699019,1.51099086912411,1,NA,NA,NA,NA,NA,1,1,0.356748258149277,1.7947972417556e-06,1,0.979506256340886,NA,1,1,0.432343323174781,1.7947972417556e-06,1,1.70929996618194,NA,1,1,0.445944296672805,1.7947972417556e-06,1,1.80710179235712,NA,1,1,0.382893069569931,1.7947972417556e-06,2,1.09144403111261,NA,NA,NA,0.864893048032364,0.864893048032364,NA,NA,NA,NA,NA,0.864456912302617,0.864456912302617,NA,NA,NA,FALSE,FALSE,FALSE
"STRA6",1423300,-5.58590082608363,0.908101798892027,1.36025632876791,1252.37700036636,1252.37700036636,1103.8958584412,0.535971703150026,671.238633872278,0.410577729159268,FALSE,"Dasatinib_STRA6",1,1,1,1,1,1,1,1,1,1,0.127335479910834,0.308489749912952,0.414246382586159,0.307547481361031,0.335454783673088,0.292720661346888,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,1.7947972417556e-06,0.448132154510505,0,0,0,0,0,0.646118176069697,1.41558350312654,0.619883369633949,0.837209302325581,1,0,0,0,0,1,1,1,0.355181400157224,1.7947972417556e-06,0,1.00646385161245,0,1,1,0.380814694363978,1.7947972417556e-06,1,1.27731328602543,0,1,1,0.404568835858613,1.7947972417556e-06,0,1.44094709477974,0,1,1,0.354370151803951,1.7947972417556e-06,0,0.930864891449449,0,NA,NA,0.86496125032755,0.86496125032755,NA,NA,NA,NA,NA,0.864525114597804,0.864525114597804,NA,NA,NA,FALSE,FALSE,FALSE
